First Name,Last Name,Email,Phone Number,Company Name,Job Title,Industry,City,State,Country,Lifecycle Stage,Lead Status,Created Date
EDWARD,WHITE,edwardwhite@outlook.com,(457) 585-4651,Pinnacle Logistics Group,Purchasing Manager,Technology,Charleston,SC,United States,marketingqualifiedlead,Unqualified,3/22/2024
Dorothy,Flores,dorothyflores@business.net,(251) 333-1475,Orchard Lane Foods,Sales Director,Manufacturing,Richmond,VA,United States,salesqualifiedlead,New,7/13/2024
David,Flores,dflores@business.net,(446) 709-3344,Harborview Financial,Regional Sales Manager,Legal Services,Albuquerque,NM,United States,marketingqualifiedlead,Unqualified,11/1/2025
Mary,Hall,maryhall@company.com,(209) 984-8052,Driftwood Hospitality,IT Manager,Hospitality,Tucson,AZ,United States,lead,Bad Timing,9/12/2024
Nancy,Jones,nancyjones2@outlook.com,405.809.7623,Ferncrest Media,HR Manager,Insurance,Milwaukee,WI,United States,salesqualifiedlead,Connected,2/7/2024
Stephen,Sanchez,stephensanchez@gmail.com,(713) 644-3136,Coppervale Manufacturing,VP of Sales,Construction,Tampa,FL,United States,opportunity,Open,7/21/2025
Kenneth,Hill,kennethhill@gmail.com,(259) 683-9674,Steadfast Insurance,CEO,Healthcare,Kansas City,MO,United States,lead,New,11/8/2024
Lisa,Allen,lallen@company.com,(417) 390-4292,Beacon Analytics,Customer Success Manager,Media,Raleigh,NC,United States,lead,In Progress,8/21/2025
Mary,Rivera,mary.rivera@gmail.com,(546) 522-7580,Coppervale Manufacturing,Customer Success Manager,Real Estate,Louisville,KY,United States,subscriber,Unqualified,11/21/2024
Edward,Sanchez,edwardsanchez@business.net,(438) 813-1173,Vantage Point Law,Purchasing Manager,Construction,Raleigh,NC,United States,salesqualifiedlead,Attempted to Contact,2/11/2026
Jacob,Flores,jflores3@outlook.com,(864) 333-1235,Ironwood Manufacturing,Sales Director,Biotechnology,Columbus,OH,United States,marketingqualifiedlead,Bad Timing,8/20/2024
Rachel,Carter,rachel.carter@outlook.com,(526) 265-4335,Foxglove Biotech,Executive Assistant,Logistics,Salt Lake City,UT,United States,marketingqualifiedlead,Connected,8/14/2026
Samuel,Carter,samuelcarter@business.net,(863) 495-1388,Harborview Financial,Office Manager,Technology,Columbus,OH,United States,lead,Open,1/22/2026
John,Smith,johnsmith@outlook.com,(339) 534-8606,,,Manufacturing,Tampa,FL,United States,subscriber,Attempted to Contact,12/18/2024
Carolyn,Wright,cwright@business.net,(944) 358-7797,Meridian Data Systems,Account Executive,Insurance,Boise,ID,United States,salesqualifiedlead,Attempted to Contact,5/2/2025
Stephen,Nguyen,stephen.nguyen@company.com,(356) 400-6404,Harborview Financial,Purchasing Manager,Hospitality,Charleston,SC,United States,lead,Unqualified,10/7/2026
David,Thomas,david.thomas@outlook.com,(976) 446-8800,Meridian Data Systems,Controller,Construction,Boise,ID,United States,subscriber,New,12/18/2026
Carolyn,Martinez,carolyn.martinez@outlook.com,(733) 842-1371,Cascade Software,Executive Assistant,Legal Services,Tucson,AZ,United States,opportunity,Open,6/14/2025
Mary,Wilson,marywilson@company.com,(261) 832-8916,Willowbrook Nonprofit,Controller,Retail,Louisville,KY,United States,subscriber,Attempted to Contact,7/1/2026
Nicole,Anderson,nicoleanderson@gmail.com,(735) 628-9773,Willowbrook Nonprofit,Controller,Hospitality,Providence,RI,United States,lead,Unqualified,2/13/2025
Larry,Campbell,lcampbell@yahoo.com,(315) 949-8847,Greystone Capital,Sales Director,Financial Services,Omaha,NE,United States,customer,Attempted to Contact,5/1/2024
Laura,Taylor,laura.taylor@business.net,9677521853,Steadfast Insurance,HR Manager,Legal Services,Denver,CO,United States,subscriber,Bad Timing,5/20/2025
Thomas,Martin,tmartin2@company.com,(563) 547-4694,Granite Peak Construction,Executive Assistant,Legal Services,Austin,TX,United States,salesqualifiedlead,Bad Timing,9/10/2026
Deborah,Thomas,deborah.thomas@gmail.com,(631) 228-1238,Amber Grove Retail,Finance Director,Legal Services,Sacramento,CA,United States,customer,New,2/26/2024
Ronald,Nguyen,ronaldnguyen@yahoo.com,(530) 339-3580,Aster Marketing,Executive Assistant,Media,Raleigh,NC,United States,customer,Unqualified,6/6/2026
Edward,White,ewhite@gmail.com,(457) 585-4651,Pinnacle Logistics Group,Purchasing Manager,Technology,Charleston,SC,United States,marketingqualifiedlead,Unqualified,10/1/2025
Frank,Baker,fbaker@gmail.com,(861) 240-6061,Driftwood Hospitality,Regional Sales Manager,Retail,Portland,OR,United States,opportunity,In Progress,3/3/2026
Joseph,Nelson,josephnelson@company.com,(556) 395-6254,Steadfast Insurance,COO,Legal Services,Boise,ID,United States,subscriber,Bad Timing,3/12/2025
Stephanie,Nelson,stephanienelson@business.net,(716) 593-7859,Fieldstone Education,HR Manager,Logistics,Des Moines,IA,United States,salesqualifiedlead,In Progress,8/26/2025
Debra,Lewis,debralewis@yahoo.com,(815) 566-7336,Ironwood Manufacturing,Marketing Manager,Manufacturing,Raleigh,NC,United States,salesqualifiedlead,In Progress,8/1/2024
Carolyn,Hall,chall@gmail.com,(793) 560-3354,Northwind Traders,VP of Sales,Education,Milwaukee,WI,United States,marketingqualifiedlead,In Progress,7/11/2025
Charles,Robinson,charles.robinson@outlook.com,(956) 759-9313,Amber Grove Retail,IT Manager,Construction,Richmond,VA,United States,marketingqualifiedlead,Bad Timing,11/5/2026
Donald,Jackson,donaldjackson@outlook.com,(336) 476-1844,Meridian Data Systems,HR Manager,Insurance,Columbus,OH,United States,lead,Attempted to Contact,1/21/2024
Joshua,Torres,joshuatorres@gmail.com,(491) 665-9901,Pinnacle Logistics Group,Controller,Biotechnology,Des Moines,IA,United States,lead,Bad Timing,8/9/2026
Deborah,Robinson,deborah.robinson@business.net,(717) 336-7461,Silverline Logistics,CEO,Hospitality,Denver,CO,United States,subscriber,Unqualified,3/8/2026
Deborah,Hernandez,deborah.hernandez@gmail.com,(935) 738-8129,Coppervale Manufacturing,Regional Sales Manager,Insurance,Charleston,SC,United States,customer,Unqualified,4/23/2024
Jessica,Garcia,jgarcia@yahoo.com,(913) 817-1660,Cobalt Digital,Office Manager,Financial Services,Nashville,TN,United States,subscriber,Connected,6/13/2024
Gregory,Williams,gwilliams@outlook.com,(200) 361-2422,Redstone Realty,Purchasing Manager,Technology,Milwaukee,WI,United States,customer,Unqualified,10/7/2025
LISA,RODRIGUEZ,lisarodriguez@company.com,(500) 406-1717,Driftwood Hospitality,Finance Director,Biotechnology,Denver,CO,United States,subscriber,In Progress,1/9/2026
Stephanie,Jones,stephaniejones@yahoo.com,(746) 660-1268,Beacon Analytics,Office Manager,Retail,Providence,RI,United States,marketingqualifiedlead,Bad Timing,1/13/2026
Donna,Torres,donna.torres@outlook.com,985-836-1430,Fieldstone Education,Product Manager,Retail,Kansas City,MO,United States,lead,In Progress,3/8/2025
Lisa,Harris,lisa.harris@company.com,(367) 397-4707,Beacon Analytics,Executive Assistant,Media,Tucson,AZ,United States,subscriber,In Progress,4/24/2025
Samuel,White,swhite@business.net,(817) 401-4170,Cascade Software,Regional Sales Manager,Financial Services,Charleston,SC,United States,customer,New,3/24/2024
Jeffrey,Miller,jeffrey.miller@company.com,(939) 347-7717,Foxglove Biotech,VP of Sales,Manufacturing,Louisville,KY,United States,salesqualifiedlead,Bad Timing,6/20/2025
Amy,Mitchell,amitchell@company.com,(979) 430-6250,Steadfast Insurance,Product Manager,Education,Charleston,SC,United States,customer,Unqualified,8/28/2024
Debbie,Thompson,deborah.thompson@gmail.com,(739) 325-8703,Quarry Hill Ventures,Operations Director,Legal Services,Omaha,NE,United States,opportunity,In Progress,8/9/2026
Amy,White,awhite@gmail.com,(728) 327-5670,Silverline Logistics,Customer Success Manager,Logistics,Providence,RI,United States,salesqualifiedlead,Attempted to Contact,7/3/2024
Cynthia,Nguyen,cynthianguyen@outlook.com,(783) 601-1834,Amber Grove Retail,Marketing Manager,Manufacturing,Kansas City,MO,United States,customer,Bad Timing,7/14/2026
Dorothy,Hill,dorothyhill@yahoo.com,(208) 730-3369,Beacon Analytics,HR Manager,Education,Richmond,VA,United States,opportunity,Bad Timing,7/12/2024
Edward,Sanchez,edwardsanchez@gmail.com,(654) 786-8341,Silverline Logistics,Controller,Construction,Kansas City,MO,United States,marketingqualifiedlead,New,12/21/2025
Daniel,Baker,dbaker@business.net,(286) 888-3194,Amber Grove Retail,Account Executive,Healthcare,Salt Lake City,UT,United States,marketingqualifiedlead,New,6/23/2024
Deborah,Green,dgreen@gmail.com,(272) 594-6454,Pinnacle Logistics Group,Sales Director,Logistics,Omaha,NE,United States,salesqualifiedlead,Bad Timing,12/20/2025
Michael,Thomas,michaelthomas@outlook.com,(214) 551-2823,Cascade Software,Regional Sales Manager,Construction,Des Moines,IA,United States,subscriber,In Progress,12/18/2024
Katherine,Allen,katherine.allen@outlook.com,(582) 980-3646,Marlowe & Co.,Marketing Coordinator,Biotechnology,Des Moines,IA,United States,subscriber,Attempted to Contact,8/1/2025
Joshua,Anderson,janderson@yahoo.com,(412) 906-9011,Amber Grove Retail,Controller,Technology,Salt Lake City,UT,United States,opportunity,Bad Timing,5/10/2026
Frank,Gonzalez,frank.gonzalez2@yahoo.com,(848) 568-1749,Driftwood Hospitality,Office Manager,Legal Services,Austin,TX,United States,salesqualifiedlead,Open,8/13/2026
Joseph,Millre,jmiller@yahoo.com,(347) 387-5187,Coppervale Manufacturing,Operations Manager,Financial Services,Providence,RI,United States,marketingqualifiedlead,Unqualified,6/7/2024
Elizabeth,Davis,elizabethdavis@gmail.com,(556) 519-6940,Brightpath Consulting,Regional Sales Manager,Biotechnology,Portland,OR,United States,opportunity,Attempted to Contact,3/23/2025
Kenneth,Carter,kcarter@business.net,(716) 636-9976,Vantage Point Law,Customer Success Manager,Nonprofit,Omaha,NE,United States,salesqualifiedlead,Unqualified,4/27/2025
Karen,Torres,karen.torres@company.com,(241) 681-9261,Beacon Analytics,Executive Assistant,Education,Austin,TX,United States,salesqualifiedlead,Unqualified,2/15/2026
William,Perez,williamperez@yahoo.com,(479) 349-4698,Redstone Realty,Marketing Manager,Manufacturing,Denver,CO,United States,salesqualifiedlead,Open,2/26/2025
Patricia,Garcia,patriciagarcia@business.net,221-983-5415,Crestline Energy,Sales Director,Media,Kansas City,MO,United States,lead,Unqualified,6/26/2024
Stephen,Lopez,stephenlopez@business.net,(227) 391-4260,Silverline Logistics,Purchasing Manager,Logistics,Columbus,OH,United States,lead,Open,11/17/2025
Sarah,Campbell,sarahcampbell@company.com,(465) 628-7628,Lumen Health Partners,Sales Director,Hospitality,Austin,TX,United States,customer,Attempted to Contact,6/24/2024
Linda,Martin,linda.martin@gmail.com,(924) 340-1185,Ironwood Manufacturing,Controller,Technology,Nashville,TN,United States,opportunity,Attempted to Contact,5/6/2026
Katherine,Wright,katherine.wright@business.net,(484) 285-6077,Silverline Logistics,Marketing Coordinator,Biotechnology,Providence,RI,United States,lead,Bad Timing,9/11/2024
Amanda,Davis,amandadavis2@outlook.com,2724347276,Silverline Logistics,Account Executive,Manufacturing,Boise,ID,United States,marketingqualifiedlead,In Progress,8/16/2025
Sharon,Nelson,sharonnelson@company.com,(879) 892-7305,Brightpath Consulting,Operations Director,Biotechnology,Kansas City,MO,United States,opportunity,New,11/6/2024
Eric,Torres,eric.torres@gmail.com,(709) 289-5937,Elmshade Legal,Operations Director,Insurance,Louisville,KY,United States,salesqualifiedlead,Open,2/16/2025
Joshua,Young,jyoung@yahoo.com,(817) 334-6882,Willowbrook Nonprofit,Account Executive,Insurance,Boise,ID,United States,marketingqualifiedlead,Attempted to Contact,8/15/2024
Angela,Lewis,alewis@outlook.com,(730) 492-4190,Beacon Analytics,COO,Education,Austin,TX,United States,opportunity,Connected,10/6/2024
Ryan,Robinson,rrobinson@gmail.com,(293) 494-8476,Steadfast Insurance,IT Manager,Real Estate,Charleston,SC,United States,opportunity,Bad Timing,7/8/2024
Robert,Harris,robert.harris@gmail.com,596-582-5155,Aster Marketing,Marketing Manager,Technology,Tucson,AZ,United States,subscriber,In Progress,3/11/2026
Rebecca,Flores,rebeccaflores@company.com,(294) 534-1901,Fieldstone Education,Finance Director,Hospitality,Kansas City,MO,United States,opportunity,Open,4/1/2025
Jason,Johnson,jason.johnson@outlook.com,(252) 589-7673,Pinnacle Logistics Group,IT Manager,Nonprofit,Des Moines,IA,United States,customer,Open,6/14/2024
Frank,Miller,fmiller@gmail.com,(318) 626-8279,Lumen Health Partners,Account Executive,Education,Austin,TX,United States,marketingqualifiedlead,Unqualified,3/7/2026
Carol,Borwn,cbrown@company.com,(921) 345-2817,Foxglove Biotech,Marketing Coordinator,Insurance,Austin,TX,United States,marketingqualifiedlead,New,12/14/2024
Christine,Baker,christine.baker@company.com,+1 536 801 4153,Ferncrest Media,Account Executive,Retail,Austin,TX,United States,opportunity,Connected,3/26/2024
Stephen,Miller,stephen.miller@business.net,(295) 971-4872,Ironwood Manufacturing,Executive Assistant,Construction,Columbus,OH,United States,salesqualifiedlead,Open,1/6/2025
John,Smith,jsmith@gmail.com,(339) 534-8606,Orchard Lane Foods,Regional Sales Manager,Manufacturing,Tampa,FL,United States,subscriber,Attempted to Contact,4/23/2026
Stephen,Rodriguez,stephen.rodriguez@gmail.com,(516) 607-8842,Pinnacle Logistics Group,Executive Assistant,Media,Des Moines,IA,United States,salesqualifiedlead,Bad Timing,2/5/2026
Pamela,Rivera,pamelarivera@yahoo.com,(351) 581-8347,Marlowe & Co.,Customer Success Manager,Education,Columbus,OH,United States,marketingqualifiedlead,New,7/16/2024
Laura,Thomas,laurathomas@outlook.com,(519) 819-6395,Vantage Point Law,Operations Director,Financial Services,Charleston,SC,United States,lead,Connected,10/18/2024
Andrew,Baker,abaker@company.com,(883) 515-1744,Harborview Financial,Purchasing Manager,Hospitality,Charleston,SC,United States,subscriber,New,5/7/2024
Laura,Martinez,lauramartinez@company.com,(226) 818-5055,Silverline Logistics,Product Manager,Manufacturing,Richmond,VA,United States,opportunity,New,9/14/2026
Timothy,Lopez,timothylopez@company.com,(591) 659-7184,Lumen Health Partners,Operations Manager,Legal Services,Portland,OR,United States,customer,Bad Timing,3/21/2026
Carol,Davis,carol.davis@business.net,(529) 418-1746,Crestline Energy,Customer Success Manager,Technology,Charleston,SC,United States,subscriber,New,3/25/2025
Sandra,Young,sandrayoung@yahoo.com,(545) 760-3139,Crestline Energy,Controller,Media,Tampa,FL,United States,marketingqualifiedlead,Connected,1/4/2024
Benjamin,Flores,benjamin.flores@business.net,(921) 271-1750,Willowbrook Nonprofit,HR Manager,Media,Milwaukee,WI,United States,marketingqualifiedlead,New,2/13/2024
Kevin,White,kwhite@outlook.com,(743) 686-1144,Ferncrest Media,Business Development Rep,Construction,Salt Lake City,UT,United States,lead,Connected,10/8/2026
Pamela,Milelr,pmiller@yahoo.com,(325) 473-8366,Harborview Financial,VP of Sales,Manufacturing,Richmond,VA,United States,subscriber,In Progress,10/13/2024
Jeffrey,Mitchell,jeffrey.mitchell@yahoo.com,(264) 222-4806,Elmshade Legal,Marketing Coordinator,Legal Services,Austin,TX,United States,marketingqualifiedlead,Unqualified,6/21/2026
William,Taylor,wtaylor@gmail.com,(894) 737-4669,Willowbrook Nonprofit,Office Manager,Education,Richmond,VA,United States,opportunity,Connected,10/4/2026
John,Wright,johnwright@company.com,(936) 957-3064,Pinnacle Logistics Group,Operations Director,Logistics,Richmond,VA,United States,lead,New,4/24/2024
Robert,Harris,rharris@gmail.com,(596) 582-5155,Aster Marketing,Marketing Manager,Technology,Tucson,AZ,United States,subscriber,In Progress,12/22/2024
Samantha,Roberts,sroberts@outlook.com,(448) 232-2800,Cobalt Digital,Marketing Manager,Construction,Albuquerque,NM,United States,marketingqualifiedlead,Unqualified,7/23/2024
Ronald,Allen,ronald.allen@outlook.com,(797) 561-1797,Beacon Analytics,IT Manager,Construction,Omaha,NE,United States,opportunity,Bad Timing,11/16/2026
Joseph,Young,josephyoung@company.com,(926) 774-8949,Vantage Point Law,Controller,Manufacturing,Columbus,OH,United States,customer,Bad Timing,2/12/2024
Samantha,Miller,samanthamiller@gmail.com,(287) 586-3042,Redstone Realty,Operations Manager,Technology,Nashville,TN,United States,subscriber,Attempted to Contact,8/16/2024
Emma,Moore,emmamoore@outlook.com,(954) 404-4847,Aster Marketing,HR Manager,Insurance,Nashville,TN,United States,marketingqualifiedlead,Open,4/27/2024
Lisa,Rodriguez,lisa.rodriguez@company.com,(500) 406-1717,Driftwood Hospitality,Finance Director,Biotechnology,Denver,CO,United States,subscriber,In Progress,9/13/2025
Brenda,Ramirez,brenda.ramirez@company.com,(453) 671-6671,Brightpath Consulting,Product Manager,Healthcare,Providence,RI,United States,customer,Bad Timing,1/26/2024
Jason,Adams,jasonadams@yahoo.com,(748) 633-6990,Fieldstone Education,Product Manager,Legal Services,Charleston,SC,United States,salesqualifiedlead,Bad Timing,7/18/2024
Richard,Miller,rmiller@outlook.com,(659) 343-7912,Ironwood Manufacturing,Product Manager,Construction,Sacramento,CA,United States,lead,Bad Timing,8/26/2024
David,Adams,davidadams@gmail.com,(588) 586-8798,Beacon Analytics,Marketing Manager,Nonprofit,Columbus,OH,United States,lead,New,7/21/2025
Cynthia,Green,cynthia.green@company.com,(694) 629-9581,Hollowridge Transport,Marketing Coordinator,Media,Raleigh,NC,United States,subscriber,Open,5/23/2026
FRANK,FLORES,frank.flores@business.net,(242) 229-2330,Beacon Analytics,CEO,Logistics,Des Moines,IA,United States,customer,Open,6/1/2025
George,Rivera,george.rivera@gmail.com,(977) 874-4633,Northwind Traders,Office Manager,Technology,Omaha,NE,United States,customer,Bad Timing,9/17/2025
Jacob,Lopez,jacoblopez@yahoo.com,(212) 324-5078,Lumen Health Partners,Regional Sales Manager,Healthcare,Sacramento,CA,United States,customer,New,8/24/2024
Mark,Lopez,mlopez@gmail.com,(363) 625-9897,Marlowe & Co.,Purchasing Manager,Manufacturing,Louisville,KY,United States,marketingqualifiedlead,Open,11/11/2024
David,Ramirez,dramirez@outlook.com,(500) 528-2680,Silverline Logistics,Office Manager,Legal Services,Des Moines,IA,United States,marketingqualifiedlead,In Progress,10/23/2025
Michelle,Gonzalez,mgonzalez@yahoo.com,857.238.4900,Hollowridge Transport,COO,Construction,Portland,OR,United States,customer,In Progress,2/3/2026
George,Roberts,georgeroberts@outlook.com,(938) 264-9830,Elmshade Legal,Purchasing Manager,Healthcare,Des Moines,IA,United States,opportunity,Connected,9/5/2025
David,Hernandez,dhernandez@outlook.com,(276) 360-1043,Granite Peak Construction,Regional Sales Manager,Nonprofit,Kansas City,MO,United States,opportunity,Unqualified,1/8/2025
James,Martin,jamesmartin@outlook.com,(222) 906-5521,Hollowridge Transport,Operations Director,Education,Kansas City,MO,United States,opportunity,Attempted to Contact,3/4/2026
Benjamin,Robinson,benjamin.robinson@gmail.com,(651) 667-1011,Granite Peak Construction,Finance Director,Nonprofit,Austin,TX,United States,lead,Connected,3/28/2025
Nicholas,Walker,nicholas.walker@outlook.com,(969) 703-6253,Harborview Financial,Office Manager,Logistics,Tucson,AZ,United States,subscriber,Attempted to Contact,9/21/2024
Benjamin,Baker,bbaker@outlook.com,(292) 644-2612,Coppervale Manufacturing,Account Executive,Construction,Salt Lake City,UT,United States,lead,Connected,1/2/2025
Donald,Clark,donald.clark@company.com,(313) 711-9782,Northwind Traders,Marketing Coordinator,Hospitality,Des Moines,IA,United States,lead,Connected,5/14/2024
Robert,Hall,robert.hall@gmail.com,(692) 864-3378,Meridian Data Systems,HR Manager,Real Estate,Sacramento,CA,United States,customer,Bad Timing,4/3/2026
Samuel,Carter,scarter@company.com,(397) 221-7189,Steadfast Insurance,VP of Sales,Logistics,Milwaukee,WI,United States,subscriber,Unqualified,8/18/2026
Raymond,Thomas,raymondthomas@company.com,(581) 220-6535,Elmshade Legal,IT Manager,Logistics,Columbus,OH,United States,marketingqualifiedlead,Bad Timing,12/22/2025
Jonathan,Allen,jonathan.allen@business.net,(568) 918-9796,Fieldstone Education,Operations Manager,Manufacturing,Boise,ID,United States,lead,Connected,6/6/2026
Nancy,Allen,nancyallen@yahoo.com,(335) 291-6198,Quarry Hill Ventures,Marketing Coordinator,Real Estate,Tucson,AZ,United States,lead,In Progress,6/2/2024
Steven,Smith,stevensmith@company.com,(756) 205-9084,Harborview Financial,Finance Director,Hospitality,Omaha,NE,United States,customer,Unqualified,7/15/2025
Gary,Adams,gary.adams@outlook.com,(800) 786-8856,Redstone Realty,Account Executive,Media,Louisville,KY,United States,opportunity,Open,8/21/2025
Ashley,King,aking@outlook.com,(223) 909-9731,Fieldstone Education,Product Manager,Legal Services,Tampa,FL,United States,opportunity,Unqualified,7/21/2024
Robert,King,robertking@gmail.com,(217) 714-8054,Driftwood Hospitality,Customer Success Manager,Manufacturing,Tampa,FL,United States,subscriber,Attempted to Contact,11/26/2024
Linda,Garcia,lindagarcia@business.net,(210) 634-9334,Hollowridge Transport,VP of Sales,Construction,Salt Lake City,UT,United States,salesqualifiedlead,Attempted to Contact,11/18/2026
Patricia,Young,patricia.young@gmail.com,(440) 938-8287,Crestline Energy,CEO,Technology,Louisville,KY,United States,salesqualifiedlead,Open,11/11/2026
Margaret,Thomas,mthomas2@outlook.com,(454) 510-5675,Crestline Energy,Regional Sales Manager,Legal Services,Boise,ID,United States,lead,In Progress,10/16/2026
Kim,Baker,kimberlybaker2@business.net,(668) 387-8191,Steadfast Insurance,Regional Sales Manager,Education,Des Moines,IA,United States,marketingqualifiedlead,In Progress,12/24/2024
Samantha,Perez,samanthaperez@company.com,(642) 618-7021,Driftwood Hospitality,Controller,Technology,Boise,ID,United States,marketingqualifiedlead,Unqualified,3/15/2024
Jonathan,Roberts,jroberts@outlook.com,(686) 762-3705,Redstone Realty,Marketing Coordinator,Insurance,Portland,OR,United States,opportunity,Unqualified,9/25/2024
Scott,Davis,sdavis@yahoo.com,(954) 599-4865,Hollowridge Transport,Executive Assistant,Healthcare,Richmond,VA,United States,lead,New,4/9/2024
Donna,Taylor,donna.taylor@outlook.com,(729) 983-4937,Greystone Capital,Sales Director,Media,Salt Lake City,UT,United States,opportunity,Unqualified,6/22/2026
James,Flores,jflores2@outlook.com,(626) 391-2402,Pinnacle Logistics Group,Business Development Rep,Manufacturing,Milwaukee,WI,United States,opportunity,Attempted to Contact,9/18/2026
Ashley,Wright,ashleywright@outlook.com,(380) 237-7504,Driftwood Hospitality,Controller,Financial Services,Columbus,OH,United States,customer,Bad Timing,1/1/2025
EMILY,WHITE,emilywhite@outlook.com,(463) 552-1324,Granite Peak Construction,Account Executive,Technology,Milwaukee,WI,United States,customer,Attempted to Contact,9/27/2024
Donna,Martinez,dmartinez@company.com,(576) 515-1345,Meridian Data Systems,COO,Retail,Milwaukee,WI,United States,customer,Connected,12/26/2024
Timothy,Johnson,timothy.johnson@gmail.com,(787) 806-3639,Brightpath Consulting,Marketing Coordinator,Retail,Kansas City,MO,United States,opportunity,Open,3/9/2024
Robert,Nguyen,rnguyen@outlook.com,(425) 207-2163,Quarry Hill Ventures,Sales Director,Healthcare,Providence,RI,United States,subscriber,New,2/17/2025
Mary,Scott,mary.scott@outlook.com,(242) 205-7456,Marlowe & Co.,Operations Director,Manufacturing,Providence,RI,United States,marketingqualifiedlead,Open,12/24/2026
Joshua,Walker,joshua.walker@yahoo.com,(804) 974-7156,Silverline Logistics,Marketing Manager,Real Estate,Louisville,KY,United States,customer,In Progress,3/18/2025
Nicole,Johnson,njohnson@business.net,(345) 776-4084,Elmshade Legal,Controller,Education,Milwaukee,WI,United States,marketingqualifiedlead,Open,1/3/2025
Pamela,Walker,pamela.walker@outlook.com,(768) 695-5157,Cascade Software,CEO,Technology,Nashville,TN,United States,customer,Unqualified,2/9/2026
Sarah,Williams,sarahwilliams@yahoo.com,(318) 299-4846,Greystone Capital,Operations Director,Financial Services,Columbus,OH,United States,salesqualifiedlead,Unqualified,11/24/2025
Steven,Lee,steven.lee@gmail.com,(316) 923-8362,Meridian Data Systems,Business Development Rep,Manufacturing,Nashville,TN,United States,opportunity,Connected,12/26/2025
STEVEN,CARTER,stevencarter@company.com,(718) 505-6956,Marlowe & Co.,Customer Success Manager,Real Estate,Columbus,OH,United States,customer,New,8/27/2026
Emma,Sanchez,emma.sanchez@yahoo.com,(614) 221-6321,Ironwood Manufacturing,COO,Construction,Boise,ID,United States,customer,In Progress,7/28/2024
Jennifer,Roberts,jennifer.roberts@yahoo.com,(906) 727-2706,Quarry Hill Ventures,Sales Director,Biotechnology,Providence,RI,United States,salesqualifiedlead,Bad Timing,2/4/2025
Mark,White,mark.white@business.net,(941) 593-7564,Fieldstone Education,Marketing Coordinator,Logistics,Denver,CO,United States,customer,Attempted to Contact,3/21/2024
Jeffrey,Clark,jeffrey.clark@business.net,(702) 746-7139,Quarry Hill Ventures,Account Executive,Technology,Tampa,FL,United States,opportunity,Unqualified,11/8/2025
Anthony,Clark,anthony.clark@business.net,953.944.2020,Quarry Hill Ventures,VP of Sales,Education,Louisville,KY,United States,lead,Attempted to Contact,5/23/2025
John,Moore,johnmoore@company.com,(954) 622-6451,Quarry Hill Ventures,Executive Assistant,Biotechnology,Denver,CO,United States,subscriber,Bad Timing,12/9/2024
John,Moore,johnmoore@yahoo.com,(954) 622-6451,Quarry Hill Ventures,Executive Assistant,Biotechnology,Denver,CO,United States,subscriber,Bad Timing,12/11/2025
Carolyn,Torres,carolyn.torres@company.com,(460) 688-4809,Hollowridge Transport,Operations Manager,Logistics,Raleigh,NC,United States,opportunity,Attempted to Contact,5/7/2025
Cynthia,Harris,charris@business.net,(242) 299-9704,Meridian Data Systems,Business Development Rep,Insurance,Richmond,VA,United States,salesqualifiedlead,Attempted to Contact,5/11/2026
Jason,Walker,jwalker@gmail.com,(555) 603-3863,Vantage Point Law,Account Executive,Nonprofit,Providence,RI,United States,opportunity,Unqualified,12/1/2025
Gary,Garcia,gary.garcia@gmail.com,(291) 923-5648,Granite Peak Construction,Controller,Nonprofit,Austin,TX,United States,lead,Open,11/9/2024
Kimberly,Wright,kimberlywright@business.net,(242) 201-8612,Elmshade Legal,COO,Logistics,Boise,ID,United States,customer,Open,1/16/2024
Debbie,Hernandez,deborahhernandez@outlook.com,(935) 738-8129,Coppervale Manufacturing,Regional Sales Manager,Insurance,Charleston,SC,United States,customer,Unqualified,8/7/2025
Stephanie,Lewis,stephanielewis2@company.com,(670) 236-1538,Ironwood Manufacturing,Operations Director,Legal Services,Richmond,VA,United States,marketingqualifiedlead,Connected,8/14/2024
Gregory,Robinson,gregory.robinson@gmail.com,(384) 763-7579,Pinnacle Logistics Group,Office Manager,Legal Services,Boise,ID,United States,lead,Attempted to Contact,8/12/2026
Paul,Green,paul.green@business.net,+1 779 944 1981,Pinnacle Logistics Group,Finance Director,Technology,Providence,RI,United States,salesqualifiedlead,Open,8/21/2026
Nicole,Baker,nbaker@business.net,(872) 679-3148,Greystone Capital,IT Manager,Nonprofit,Richmond,VA,United States,customer,Unqualified,11/21/2025
Robert,Nguyen,rnguyen@yahoo.com,(697) 419-9834,Brightpath Consulting,CEO,Hospitality,Kansas City,MO,United States,salesqualifiedlead,Open,7/7/2025
Christine,Clark,christine.clark@yahoo.com,(626) 937-6241,Redstone Realty,Operations Manager,Hospitality,Kansas City,MO,United States,marketingqualifiedlead,New,11/2/2026
Lisa,Flores,lisa.flores@yahoo.com,(201) 321-1392,Vantage Point Law,Account Executive,Nonprofit,Kansas City,MO,United States,lead,Bad Timing,7/14/2026
Samuel,White,samuelwhite@outlook.com,(457) 542-8424,Beacon Analytics,Account Executive,Nonprofit,Salt Lake City,UT,United States,subscriber,Attempted to Contact,3/26/2024
Christine,Carter,christine.carter@yahoo.com,(660) 469-6711,Foxglove Biotech,Operations Manager,Construction,Kansas City,MO,United States,subscriber,Bad Timing,4/26/2024
